Chlorination,Chlorination of PVC yields chlorinated silk(to make carpets) and HCL gas(for continuing create PVC),4,,
Ethylene glycol,Glycolysis PET,1,,
Diethylene glycol,Glycolysis PET,1,,
Propylene glycol,Glycolysis PET,1,,
Dipropylene glycol,Glycolysis PET,1,,
Methanol,Alcoholysis PET,1,,
Water,Hydrolysis PET,1,,
Supercritical water,Metabolism HDPE LDPE PP into fuel,2,4,5
Dry distillation( 450-800 C),Metabolism HDPE LDPE PP into fuel,2,4,5
